key,en,fr,es,it,de
marketAnalysis.noSalaryData,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketAnalysis.salaryInsights,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketAnalysis.subtitle,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketAnalysis.title,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketAnalysis.topLocations,,(valeur traduite automatiquement en français depuis la version anglaise),,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketTrends.error,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketTrends.errorUnknown,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketTrends.jobTypes,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketTrends.loading,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketTrends.locations,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketTrends.noData,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketTrends.salary,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketTrends.salaryOffers,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
marketTrends.title,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
navigation.profile,,,,,(automatisch ins Deutsche übersetzt)
privacy.accept,,,,,(automatisch ins Deutsche übersetzt)
privacy.consent,,,,,(automatisch ins Deutsche übersetzt)
privacy.contact.description,,,,,(automatisch ins Deutsche übersetzt)
privacy.contact.title,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataCollection.description,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataCollection.personal,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataCollection.preferences,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataCollection.skills,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataCollection.title,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataCollection.usage,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataPurpose.analytics,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataPurpose.description,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataPurpose.matching,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataPurpose.recommendations,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataPurpose.title,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataRetention.description,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataRetention.logs,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataRetention.preferences,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataRetention.skills,,,,,(automatisch ins Deutsche übersetzt)
privacy.dataRetention.title,,,,,(automatisch ins Deutsche übersetzt)
privacy.decline,,,,,(automatisch ins Deutsche übersetzt)
privacy.rights.access,,,,,(automatisch ins Deutsche übersetzt)
privacy.rights.description,,,,,(automatisch ins Deutsche übersetzt)
privacy.rights.erasure,,,,,(automatisch ins Deutsche übersetzt)
privacy.rights.objection,,,,,
privacy.rights.portability,,,,,(automatisch ins Deutsche übersetzt)
privacy.rights.rectification,,,,,(automatisch ins Deutsche übersetzt)
privacy.rights.restriction,,,,,
privacy.rights.title,,,,,(automatisch ins Deutsche übersetzt)
privacy.rights.withdraw,,,,,(automatisch ins Deutsche übersetzt)
privacy.security.access,,,,,(automatisch ins Deutsche übersetzt)
privacy.security.compliance,,,,,(automatisch ins Deutsche übersetzt)
privacy.security.description,,,,,(automatisch ins Deutsche übersetzt)
privacy.security.encryption,,,,,(automatisch ins Deutsche übersetzt)
privacy.security.monitoring,,,,,(automatisch ins Deutsche übersetzt)
privacy.security.title,,,,,(automatisch ins Deutsche übersetzt)
privacy.shortConsent,,,,,(automatisch ins Deutsche übersetzt)
privacy.title,,,,,(automatisch ins Deutsche übersetzt)
profile.personalInfo.fullName,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
profile.personalInfo.title,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
profile.personalInfo.updateError,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
profile.personalInfo.updateSuccess,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
profile.subtitle,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
profile.title,,,,(valore tradotto automaticamente in italiano dalla versione inglese),(automatisch ins Deutsche übersetzt)
read_by,,,,(valore tradotto automaticamente in italiano dalla versione inglese),
sections,,,,(valore tradotto automaticamente in italiano dalla versione inglese),
session_id,,,,(valore tradotto automaticamente in italiano dalla versione inglese),
status,,,,(valore tradotto automaticamente in italiano dalla versione inglese),
steps,"[{'description': 'Import your CV or fill in your experience and skills.', 'title': 'Create your profile in 2 minutes'}, {'description': 'Let AI analyze the market and suggest the best opportunities.', 'title': 'Get personalized offers'}, {'description': 'Generate tailored applications and track your progress in real time.', 'title': 'Apply in one click'}]",,"[{'description': 'Importez votre CV ou renseignez vos expériences et compétences.', 'title': 'Créez votre profil en 2 minutes'}, {'description': ""Laissez l'IA analyser le marché et vous proposer les meilleures opportunités."", 'title': 'Recevez des offres personnalisées'}, {'description': 'Générez des candidatures sur-mesure et suivez vos avancées en temps réel.', 'title': 'Postulez en un clic'}]","[{'description': 'Importez votre CV ou renseignez vos expériences et compétences.', 'title': 'Créez votre profil en 2 minutes'}, {'description': ""Laissez l'IA analyser le marché et vous proposer les meilleures opportunités."", 'title': 'Recevez des offres personnalisées'}, {'description': 'Générez des candidatures sur-mesure et suivez vos avancées en temps réel.', 'title': 'Postulez en un clic'}]","[{'description': '(automatisch ins Deutsche übersetzt)', 'title': '(automatisch ins Deutsche übersetzt)'}, {'description': '(automatisch ins Deutsche übersetzt)', 'title': '(automatisch ins Deutsche übersetzt)'}, {'description': '(automatisch ins Deutsche übersetzt)', 'title': '(automatisch ins Deutsche übersetzt)'}]"
structure,,,,(valore tradotto automaticamente in italiano dalla versione inglese),
subscription.checkout.completed,,,,(valore tradotto automaticamente in italiano dalla versione inglese),
subscription.checkout.started,,,,(valore tradotto automaticamente in italiano dalla versione inglese),
subscription.portal.opened,,,,(valore tradotto automaticamente in italiano dalla versione inglese),
subtitle,,,Optimisez votre recherche d'emploi grâce à l'automatisation intelligente et des conseils personnalisés.,Optimisez votre recherche d'emploi grâce à l'automatisation intelligente et des conseils personnalisés.,
testimonials.0.name,,,Alice,Alice,
testimonials.0.quote,,,JobNexAI m'a permis de décrocher 3 entretiens en 2 semaines !,JobNexAI m'a permis de décrocher 3 entretiens en 2 semaines !,
testimonials.0.role,,,Développeuse Web,Développeuse Web,
testimonials.1.name,,,Mehdi,Mehdi,
testimonials.1.quote,,,La génération automatique de CV est bluffante.,La génération automatique de CV est bluffante.,
testimonials.1.role,,,Product Manager,Product Manager,
testimonials.2.name,,,Sophie,Sophie,
testimonials.2.quote,,,J'ai gagné un temps fou pour postuler à mes offres préférées.,J'ai gagné un temps fou pour postuler à mes offres préférées.,
testimonials.2.role,,,Designer UX,Designer UX,
testimonials.3.name,,,Luca,Luca,
testimonials.3.quote,,,Enfin une plateforme qui comprend vraiment mes besoins.,Enfin une plateforme qui comprend vraiment mes besoins.,
testimonials.3.role,,,Data Scientist,Data Scientist,
testimonials.4.name,,,Fatima,Fatima,
testimonials.4.quote,,,L'accompagnement personnalisé fait la différence.,L'accompagnement personnalisé fait la différence.,
testimonials.4.role,,,Ingénieure IA,Ingénieure IA,
testimonials.5.name,,,Paul,Paul,
testimonials.5.quote,,,La veille marché intégrée m'a permis de cibler les meilleures opportunités.,La veille marché intégrée m'a permis de cibler les meilleures opportunités.,
testimonials.5.role,,,Consultant,Consultant,
testimonialsSectionSubtitle,,,Témoignages de nos utilisateurs,Témoignages de nos utilisateurs,
testimonialsSectionTitle,,,Ils ont trouvé leur job de rêve,Ils ont trouvé leur job de rêve,
typing,,,,(valore tradotto automaticamente in italiano dalla versione inglese),
userDefault,,,,(valore tradotto automaticamente in italiano dalla versione inglese),
watchDemo,,,Regarder la démo,Regarder la démo,
welcome,,,,(valore tradotto automaticamente in italiano dalla versione inglese),
