0;Transverse aux secteurs
H1401;Responsable ordonnancement-lancement-planification en industrie
H1402;Ingénieur / Ingénieure méthodes et process
H1403;Gestionnaire de flux de production
H1404;Technicien / Technicienne méthodes
H1405;Responsable supply chain en industrie
H1406;Ingénieur / Ingénieure supply chain en industrie
H2214;Mérandier / Mérandière
H2215;Caissier / Caissière de l'emballage industriel
H2502;Responsable d'unité de production industrielle
H2507;Responsable de ligne de production industrielle
H2710;Responsable technique d'installation hydrogène
H2903;Tourneur-fraiseur / Tourneuse-fraiseuse
H2908;Modeleur / Modeleuse
H2912;Régleur / Régleuse d'équipements industriels
H3401;Opérateur / Opératrice de traitement d'abrasion de surface
H3402;Agent / Agente de traitement de surface
H3404;Peintre industriel / Peintre industrielle
H3405;Polisseur / Polisseuse en bijouterie ou joaillerie ou orfèvrerie
H3406;Opérateur / Opératrice en polissage de bijouterie ou d'orfèvrerie
H3407;Metteur au bain / Metteuse au bain argenture - dorure en orfèvrerie
H3408;Metteur au point polisseur / Metteuse au point polisseuse sur matrice en orfèvrerie
I1304;Technicien / Technicienne de maintenance industrielle
33;Reparation et installation de machines et d'equipements
;
B1811;Sellier-garnisseur / Sellière-garnisseuse
H1504;Contrôleur / Contrôleuse technique en électricité-électronique
H1516;Expert / Experte métrologue
H1533;Ingénieur / Ingénieure CND END
H2915;Chef soudeur / Cheffe soudeuse
H2916;Soudeur / Soudeuse Tungsten Inert Gas -TIG-
H2918;Affûteur / Affûteuse d'outillage industriel
I1102;Ingénieur / Ingénieure de maintenance industrielle
I1108;Chef / Cheffe d'atelier engins de chantier
I1110;Chef / Cheffe d'atelier machines agricoles
I1112;Chef / Cheffe d'atelier engins de levage et de manutention
I1301;Ascensoriste
I1302;Technicien / Technicienne de maintenance d'installations automatisées
I1303;Technicien / Technicienne de maintenance de distributeurs automatiques
I1304;Technicien / Technicienne de maintenance industrielle
I1305;Technicien / Technicienne installation et maintenance électronique
I1306;Frigoriste
I1308;Chauffagiste
I1309;Electricien / Electricienne de maintenance
I1310;Mécanicien / Mécanicienne de maintenance industrielle
I1313;Hydraulicien industriel / Hydraulicienne industrielle
I1316;Technicien / Technicienne de maintenance Chauffage, Ventilation et Climatisation - CVC
I1318;Instrumentiste Industriel / Industrielle
I1323;Technicien / Technicienne de maintenance ferroviaire
I1324;Technicien / Technicienne d'installation d'équipements industriels
I1325;Technicien-cuisiniste / Technicienne-cuisiniste en cuisines professionnelles
I1326;Responsable d'équipe maintenance
I1327;Technicien / Technicienne de maintenance en matériel biomédical
I1329;Technicien / Technicienne de maintenance en audio-vidéo professionnelle
I1332;Chef / Cheffe d'atelier de maintenance industrielle
I1333;Chef / Cheffe d'équipe d'installation industrielle
I1335;Electromécanicien / Electromécanicienne d'équipements industriels
I1402;Technicien / Technicienne de maintenance en appareils électroménagers
I1410;Responsable Service Après-Vente -SAV- en électroménager
I1502;Scaphandrier / Scaphandrière
I1601;Préparateur / Préparatrice de bateau
I1602;Mécanicien / Mécanicienne aéronautique
I1603;Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles
I1605;Mécanicien / Mécanicienne en mécanique marine ou navale
I1616;Mécanicien / Mécanicienne d'engins de chantier et de travaux publics
I1618;Mécanicien / Mécanicienne en matériels motorisés de parcs et jardins
I1620;Mécanicien-réparateur / Mécanicienne-réparatrice d'engins de levage et de manutention
K1724;Mécanicien / Mécanicienne d'engins blindés
35;Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne
;
F1122;Ingénieur / Ingénieure Chantier nucléaire
F1128;Géotechnicien / Géotechnicienne
F1136;Chef / Cheffe de projet éolien
F1138;Géothermicien / Géothermicienne
F1141;Ingénieur / Ingénieure études conception électrique
F1207;Chef / Cheffe d'équipe travaux publics
F1605;Monteur / Monteuse de réseaux électriques
F1622;Monteur / Monteuse en éclairage public
F1623;Monteur / Monteuse installation réseaux mobiles
F1626;Calorifugeur / Calorifugeuse
H1230;Ingénieur / Ingénieure essais vérification et validation (V&V) en milieu nucléaire
H1237;Ingénieur / Ingénieure énergies renouvelables
H1241;Architecte système hydrogène
H1304;Responsable environnement en industrie
H2701;Technicien / Technicienne énergie
H2702;Conducteur / Conductrice de bloc nucléaire
H2706;Opérateur / Opératrice de production en énergie nucléaire
H2707;Technicien / Technicienne essais en industrie nucléaire
H2708;Technicien / Technicienne d'exploitation nucléaire
H2710;Responsable technique d'installation hydrogène
I1304;Technicien / Technicienne de maintenance industrielle
I1309;Electricien / Electricienne de maintenance
I1316;Technicien / Technicienne de maintenance Chauffage, Ventilation et Climatisation - CVC
I1321;Technicien / Technicienne de maintenance d'éoliennes
I1335;Electromécanicien / Electromécanicienne d'équipements industriels
I1507;Opérateur / Opératrice démantèlement nucléaire
N1208;Opérateur / Opératrice de traitement de valeurs
36;Captage, traitement et distribution d'eau
;
F1207;Chef / Cheffe d'équipe travaux publics
F1302;Conducteur / Conductrice d'engins de chantier
F1705;Poseur / Poseuse de canalisations
I1304;Technicien / Technicienne de maintenance industrielle
I1335;Electromécanicien / Electromécanicienne d'équipements industriels
K1813;Chargé / Chargée de mission eaux pluviales
K2301;Agent / Agente d'exploitation des réseaux d'assainissement
K2306;Responsable de site éco-industriel
K2313;Technicien chargé / Technicienne chargée de la police des eaux
K2314;Technicien / Technicienne de maintenance de systèmes d'irrigation
K2316;Responsable d'usine de production d'eau potable
K2317;Technicien / Technicienne d'exploitation d'eau potable
37;Collecte et traitement des eaux usees
;
A1204;Garde de parc naturel
F1207;Chef / Cheffe d'équipe travaux publics
F1302;Conducteur / Conductrice d'engins de chantier
F1705;Poseur / Poseuse de canalisations
K2301;Agent / Agente d'exploitation des réseaux d'assainissement
K2313;Technicien chargé / Technicienne chargée de la police des eaux
K2321;Egoutier / Egoutière
K2322;Technicien / Technicienne en traitement des eaux
38;Collecte, traitement et elimination des dechets, recuperation
;
A1202;Agent / Agente d'entretien des espaces naturels
A1207;Chef / Cheffe d'équipe d'entretien d'espaces naturels
F1302;Conducteur / Conductrice d'engins de chantier
H2709;Conducteur / Conductrice d'installation d'incinération
I1113;Chef / Cheffe d'atelier en démontage recyclage de VHU
I1119;Responsable de centre de démontage recyclage des VHU
I1504;Décontaminateur / Décontamineuse nucléaire et radiologique
I1507;Opérateur / Opératrice démantèlement nucléaire
I1608;Démonteur / Démonteuse de véhicules hors d'usage
K2302;Responsable de collecte de déchets
K2303;Ripeur / Ripeuse
K2304;Agent / Agente de tri des déchets
K2306;Responsable de site éco-industriel
K2307;Agent / Agente de propreté urbaine
K2308;Opérateur / Opératrice de tri en récupération et revalorisation
K2309;Technicien / Technicienne réutilisation recyclage
K2310;Ambassadeur / Ambassadrice du tri
K2311;Responsable des déchets
K2312;Ingénieur / Ingénieure responsable propreté nettoiement
K2318;Agent / Agente de déchetterie
K2319;Technicien / Technicienne hygiéniste
K2320;Chargé / Chargée du traitement des déchets
K2323;Responsable propreté urbaine
N4118;Conducteur / Conductrice enlèvement de déchets
39;Depollution et autres services de gestion des dechets
;
H1303;Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)
I1503;Technicien / Technicienne en risques technologiques
I1504;Décontaminateur / Décontamineuse nucléaire et radiologique
I1505;Technicien / Technicienne déchet nucléaire
I1508;Désamianteur / Désamianteuse
K2306;Responsable de site éco-industriel
K2319;Technicien / Technicienne hygiéniste
41;Construction de batiments
;
B1103;Sculpteur / Sculptrice ornemaniste sur pierre
C1503;Chargé / Chargée d'affaires immobilières
C1506;Responsable de projet immobilier
F1101;Architecte du bâtiment
F1103;Diagnostiqueur / Diagnostiqueuse immobilier
F1104;Dessinateur-projeteur / Dessinatrice-projeteuse de la construction
F1106;Ingénieur / Ingénieure d'études de prix BTP
F1108;Métreur / Métreuse de la construction
F1120;Economiste de la construction
F1128;Géotechnicien / Géotechnicienne
F1130;Contrôleur / Contrôleuse technique de la construction (CTC)
F1132;Acousticien / Acousticienne du bâtiment
F1134;Domoticien / Domoticienne
F1135;Chargé / Chargée d'affaires BTP
F1137;Chargé / Chargée de méthodes BTP
F1140;Concepteur / Conceptrice agencement
F1201;Conducteur / Conductrice de travaux du bâtiment
F1202;Chef / Cheffe de chantier bâtiment
F1204;Animateur / Animatrice QSE - Qualité Sécurité Environnement BTP
F1205;Directeur / Directrice de travaux du bâtiment
F1206;Chef / Cheffe d'équipe bâtiment
F1301;Grutier / Grutière
F1501;Monteur / Monteuse de structures bois
F1502;Monteur / Monteuse en structures métalliques
F1503;Charpentier / Charpentière
F1504;Charpentier / Charpentière de marine
F1505;Echafaudeur / Echafaudeuse
F1601;Plâtrier / Plâtrière
F1602;Electricien / Electricienne du bâtiment
F1603;Plombier / Plombière sanitaire
F1604;Plaquiste
F1606;Peintre en bâtiment
F1608;Carreleur / Carreleuse
F1609;Solier / Solière
F1610;Installateur mainteneur / Installatrice mainteneuse en systèmes solaires, thermiques et photovoltaïques
F1611;Façadier / Façadière itéiste
F1612;Tailleur / Tailleuse de pierre
F1613;Etancheur / Etancheuse
F1615;Poseur / Poseuse de cloisons démontables et mobiles
F1619;Couvreur / Couvreuse
F1621;Ramoneur / Ramoneuse
F1625;Monteur / Monteuse en agencement
F1626;Calorifugeur / Calorifugeuse
F1627;Poseur / Poseuse de compteurs
F1628;Installateur / Installatrice de bornes de recharges électriques
F1630;Technicien / Technicienne de désenfumage
F1701;Coffreur / Coffreuse
F1703;Maçon / Maçonne
F1704;Manœuvre bâtiment
F1707;Maçon / Maçonne du paysage
F1708;Installateur-poseur / Installatrice-poseuse de piscines préfabriquées
F1709;Démolisseur / Démolisseuse
F1710;Magasinier / Magasinière en négoce des matériaux de construction
H2209;Dessinateur / Dessinatrice de structures en bois
I1501;Cordiste
I1506;Chef / Cheffe d'équipe cordiste
I1508;Désamianteur / Désamianteuse
N1108;Conducteur / Conductrice de grue mobile
N4107;Conducteur livreur / Conductrice livreuse de béton prêt à l'emploi
42;Genie civil
;
F1104;Dessinateur-projeteur / Dessinatrice-projeteuse de la construction
F1105;Géologue
F1106;Ingénieur / Ingénieure d'études de prix BTP
F1111;Ingénieur / Ingénieure génie civil
F1112;Ingénieur / Ingénieure calcul et structure
F1117;Ingénieur / Ingénieure d'étude CVC
F1125;BIM Manager
F1128;Géotechnicien / Géotechnicienne
F1135;Chargé / Chargée d'affaires BTP
F1137;Chargé / Chargée de méthodes BTP
F1202;Chef / Cheffe de chantier bâtiment
F1204;Animateur / Animatrice QSE - Qualité Sécurité Environnement BTP
F1207;Chef / Cheffe d'équipe travaux publics
F1208;Conducteur / Conductrice de travaux publics
F1209;Chef / Cheffe de chantier travaux publics
F1210;Directeur / Directrice de travaux TP - Travaux Publics
F1302;Conducteur / Conductrice d'engins de chantier
F1502;Monteur / Monteuse en structures métalliques
F1505;Echafaudeur / Echafaudeuse
F1613;Etancheur / Etancheuse
F1623;Monteur / Monteuse installation réseaux mobiles
F1701;Coffreur / Coffreuse
F1702;Ouvrier / Ouvrière en voiries
F1704;Manœuvre bâtiment
F1705;Poseur / Poseuse de canalisations
F1709;Démolisseur / Démolisseuse
F1711;Poseur / Poseuse de voies ferrées
H1237;Ingénieur / Ingénieure énergies renouvelables
I1101;Directeur / Directrice de la gestion technique des bâtiments
I1104;Ingénieur / Ingénieure infrastructures télécoms réseaux mobiles
I1311;Technicien / Technicienne installation réseaux câblés fibre optique
I1315;Monteur raccordeur / Monteuse raccordeuse fibre optique
I1317;Technicien / Technicienne de maintenance fibre optique
I1501;Cordiste
I1502;Scaphandrier / Scaphandrière
I1506;Chef / Cheffe d'équipe cordiste
43;Travaux de construction specialises
;
B1102;Mosaïste d'art
B1103;Sculpteur / Sculptrice ornemaniste sur pierre
F1102;Architecte d'intérieur
F1104;Dessinateur-projeteur / Dessinatrice-projeteuse de la construction
F1106;Ingénieur / Ingénieure d'études de prix BTP
F1107;Géomètre-topographe
F1108;Métreur / Métreuse de la construction
F1109;Assistant / Assistante géomètre
F1110;Dessinateur / Dessinatrice enveloppe du bâtiment
F1111;Ingénieur / Ingénieure génie civil
F1112;Ingénieur / Ingénieure calcul et structure
F1117;Ingénieur / Ingénieure d'étude CVC
F1120;Economiste de la construction
F1122;Ingénieur / Ingénieure Chantier nucléaire
F1125;BIM Manager
F1130;Contrôleur / Contrôleuse technique de la construction (CTC)
F1132;Acousticien / Acousticienne du bâtiment
F1134;Domoticien / Domoticienne
F1135;Chargé / Chargée d'affaires BTP
F1137;Chargé / Chargée de méthodes BTP
F1139;Décorateur / Décoratrice d'intérieur
F1143;Géophysicien / Géophysicienne
F1202;Chef / Cheffe de chantier bâtiment
F1204;Animateur / Animatrice QSE - Qualité Sécurité Environnement BTP
F1205;Directeur / Directrice de travaux du bâtiment
F1206;Chef / Cheffe d'équipe bâtiment
F1207;Chef / Cheffe d'équipe travaux publics
F1208;Conducteur / Conductrice de travaux publics
F1209;Chef / Cheffe de chantier travaux publics
F1210;Directeur / Directrice de travaux TP - Travaux Publics
F1301;Grutier / Grutière
F1302;Conducteur / Conductrice d'engins de chantier
F1303;Conducteur / Conductrice d'engin de damage
F1401;Foreur / Foreuse
F1502;Monteur / Monteuse en structures métalliques
F1503;Charpentier / Charpentière
F1504;Charpentier / Charpentière de marine
F1505;Echafaudeur / Echafaudeuse
F1601;Plâtrier / Plâtrière
F1604;Plaquiste
F1605;Monteur / Monteuse de réseaux électriques
F1606;Peintre en bâtiment
F1607;Menuisier / Menuisière aluminium
F1608;Carreleur / Carreleuse
F1609;Solier / Solière
F1610;Installateur mainteneur / Installatrice mainteneuse en systèmes solaires, thermiques et photovoltaïques
F1612;Tailleur / Tailleuse de pierre
F1613;Etancheur / Etancheuse
F1614;Poseur / Poseuse en fermetures de bâtiment
F1615;Poseur / Poseuse de cloisons démontables et mobiles
F1616;Poseur / Poseuse de menuiseries extérieures
F1617;Poseur / Poseuse de véranda
F1618;Poseur / Poseuse de façade vitrée
F1619;Couvreur / Couvreuse
F1620;Installateur / Installatrice chauffage et climatisation
F1621;Ramoneur / Ramoneuse
F1622;Monteur / Monteuse en éclairage public
F1623;Monteur / Monteuse installation réseaux mobiles
F1624;Staffeur Stuqueur / Staffeuse Stuqueuse
F1625;Monteur / Monteuse en agencement
F1627;Poseur / Poseuse de compteurs
F1628;Installateur / Installatrice de bornes de recharges électriques
F1629;Electricien / Electricienne ferroviaire
F1630;Technicien / Technicienne de désenfumage
F1701;Coffreur / Coffreuse
F1702;Ouvrier / Ouvrière en voiries
F1703;Maçon / Maçonne
F1704;Manœuvre bâtiment
F1705;Poseur / Poseuse de canalisations
F1706;Armaturier / Armaturière de l'industrie du béton
F1707;Maçon / Maçonne du paysage
F1708;Installateur-poseur / Installatrice-poseuse de piscines préfabriquées
F1709;Démolisseur / Démolisseuse
F1710;Magasinier / Magasinière en négoce des matériaux de construction
F1711;Poseur / Poseuse de voies ferrées
H2201;Assembleur / Assembleuse d'ouvrages en bois
H2206;Menuisier / Menuisière
H2605;Monteur-câbleur / Monteuse-câbleuse en électronique
H2607;Chef / Cheffe d'atelier de bobinage électrique
H2802;Opérateur / Opératrice de fabrication en matériaux de construction
H2911;Métallier / Métallière
H2914;Tuyauteur / Tuyauteuse
H2915;Chef soudeur / Cheffe soudeuse
H2916;Soudeur / Soudeuse Tungsten Inert Gas -TIG-
I1101;Directeur / Directrice de la gestion technique des bâtiments
I1104;Ingénieur / Ingénieure infrastructures télécoms réseaux mobiles
I1209;Technicien / Technicienne d'installation de panneau digital
I1307;Antenniste
I1308;Chauffagiste
I1309;Electricien / Electricienne de maintenance
I1311;Technicien / Technicienne installation réseaux câblés fibre optique
I1315;Monteur raccordeur / Monteuse raccordeuse fibre optique
I1316;Technicien / Technicienne de maintenance Chauffage, Ventilation et Climatisation - CVC
I1317;Technicien / Technicienne de maintenance fibre optique
I1325;Technicien-cuisiniste / Technicienne-cuisiniste en cuisines professionnelles
I1501;Cordiste
I1502;Scaphandrier / Scaphandrière
I1503;Technicien / Technicienne en risques technologiques
I1506;Chef / Cheffe d'équipe cordiste
I1508;Désamianteur / Désamianteuse
N1208;Opérateur / Opératrice de traitement de valeurs
45;Commerce et reparation d'automobiles et de motocycles
;
C1113;Expert / Experte en assurances dommages automobile
D1223;Conseiller / Conseillère de vente en pièces de rechange et accessoires de véhicules
D1224;Chargé / Chargée de location d'engins et de matériel de chantier
D1238;Chef / Cheffe d'agence de location de véhicules
D1304;Responsable de station de lavage
D1401;Assistant commercial / Assistante commerciale
D1404;Vendeur / Vendeuse automobile
D1410;Attaché commercial / Attachée commerciale
D1421;Conseiller commercial / Conseillère commerciale en véhicules industriels
D1423;Conseiller / Conseillère produits en véhicules
D1426;Vendeur / Vendeuse en véhicules de collection
D1427;Conseiller vendeur / Conseillère vendeuse d'autocars
D1430;Conseiller vendeur / Conseillère vendeuse de véhicules de loisirs
D1431;Assistant / Assistante achat
D1434;Conseiller commercial / Conseillère commerciale motocycles
D1437;Gérant / Gérante de négoce automobile
F1139;Décorateur / Décoratrice d'intérieur
H2703;Technicien / Technicienne de maintenance de batteries de véhicules électriques
H2704;Technicien démonteur / Technicienne démonteuse de batteries de véhicules électriques
I1103;Chef / Cheffe d'atelier après-vente des véhicules (auto, moto, VTR)
I1107;Responsable d'atelier de mécanique parcs et jardins
I1109;Responsable de parc de véhicules
I1111;Responsable technique après-vente des véhicules
I1113;Chef / Cheffe d'atelier en démontage recyclage de VHU
I1114;Responsable de centre de contrôle technique de véhicules
I1115;Responsable de site(s) de vente et de réparation cycles
I1117;Chef / Cheffe d'atelier après-vente cycles
I1118;Responsable de site SMAVA (service multimarques de l'après-vente automobile)
I1604;Mécanicien / Mécanicienne automobile
I1606;Carrossier-peintre / Carrossière-peintre
I1607;Mécanicien / Mécanicienne motocycles
I1608;Démonteur / Démonteuse de véhicules hors d'usage
I1609;Peintre automobile
I1610;Responsable atelier carrosserie
I1611;Préparateur / Préparatrice de véhicules automobiles
I1612;Technicien expert / Technicienne experte après-vente automobile
I1613;Mécanicien / Mécanicienne des véhicules des transports routiers
I1614;Préparateur / Préparatrice en peinture automobile
I1615;Dépanneur-remorqueur / Dépanneuse-remorqueuse de véhicules
I1618;Mécanicien / Mécanicienne en matériels motorisés de parcs et jardins
I1619;Mécanicien / Mécanicienne cycles
I1621;Tôlier / Tôlière en carrosserie automobile
I1622;Technicien expert / Technicienne experte après-vente de véhicules de transport routier
I1623;Conseiller / Conseillère client après-vente des véhicules
I1624;Mécanicien réparateur / Mécanicienne réparatrice de véhicules anciens et historiques
I1625;Débosseleur / Débosseleuse
I1626;Préparateur / Préparatrice en tôlerie automobile
I1627;Technicien expert / Technicienne experte après vente motocycles
I1628;Conseiller / Conseillère technique cycles
I1629;Technicien / Technicienne de réparation et pose de vitrage des véhicules
N4122;Convoyeur / Convoyeuse de véhicules ou matériels lourds
46;Commerce de gros, a l'exception des automobiles et des motocycles
;
D1106;Vendeur / Vendeuse en épicerie
D1107;Vendeur / Vendeuse grossiste en produits frais
D1109;Chef boucher / Cheffe bouchère
D1113;Commercial itinérant / Commerciale itinérante en entreprise de commerce de gros
D1116;Négociant / Négociante en bétail
D1211;Vendeur / Vendeuse d'articles de sport et loisirs
D1212;Vendeur / Vendeuse en équipement de la maison
D1214;Vendeur / Vendeuse en prêt-à-porter
D1227;Acheteur vendeur / Acheteuse vendeuse d'or, de métaux précieux
D1302;Responsable de boutique
D1401;Assistant commercial / Assistante commerciale
D1402;Commercial / Commerciale grands comptes et entreprises
D1407;Technico-commercial / Technico-commerciale
D1410;Attaché commercial / Attachée commerciale
D1415;Chargé / Chargée de relation client
D1416;Commercial / Commerciale auprès d'une clientèle d'entreprises
D1417;Chef / Cheffe des ventes
D1418;Négociant / Négociante en bois
D1419;Courtier / Courtière en vins
D1420;Cadre Technico-commercial / Technico-commerciale
D1433;Commercial / Commerciale export
D1501;Animateur / Animatrice des ventes
D1509;Responsable de département en grande distribution
E1113;Responsable e-commerce
F1710;Magasinier / Magasinière en négoce des matériaux de construction
H1209;Technicien / Technicienne en électricité et électronique études et développement
H3302;Agent / Agente de conditionnement
M1101;Acheteur / Acheteuse
M1102;Responsable des achats
M1701;Responsable de l'administration des ventes
M1704;Responsable relation client (CRM)
M1705;Responsable marketing
M1706;Chef / Cheffe de promotion des ventes
M1707;Responsable Commercial / Commerciale
M1709;Chef / Cheffe de gamme en industrie pharmaceutique
M1715;Directeur commercial / Directrice commerciale
N1101;Cariste
N1103;Préparateur / Préparatrice de commandes
N1106;Agent / Agente de quai manutentionnaire
N1110;Magasinier / Magasinière
N1113;Préparateur / Préparatrice au drive
N1203;Technicien / Technicienne gestion douanière
N1302;Responsable entrepôt logistique
N1303;Approvisionneur / Approvisionneuse logistique
N4114;Conducteur livreur avitailleur / Conductrice livreuse avitailleuse en carburant
47;Commerce de detail, a l'exception des automobiles et des motocycles
;
A1412;Fromager-affineur / Fromagère-affineuse
A1447;Herboriste
B1301;Etalagiste
D1101;Boucher / Bouchère
D1102;Boulanger / Boulangère
D1105;Poissonnier / Poissonnière
D1106;Vendeur / Vendeuse en épicerie
D1109;Chef boucher / Cheffe bouchère
D1110;Vendeur ambulant / Vendeuse ambulante
D1112;Chef charcutier-traiteur / Cheffe charcutière-traiteuse
D1117;Chef pâtissier / Cheffe pâtissière
D1201;Brocanteur / Brocanteuse
D1202;Coiffeur / Coiffeuse
D1205;Employé / Employée de pressing
D1209;Fleuriste
D1210;Vendeur / Vendeuse en animalerie
D1211;Vendeur / Vendeuse d'articles de sport et loisirs
D1212;Vendeur / Vendeuse en équipement de la maison
D1213;Vendeur / Vendeuse grossiste en équipement du foyer
D1214;Vendeur / Vendeuse en prêt-à-porter
D1219;Vendeur / Vendeuse conseil en jardinerie
D1221;Vendeur / Vendeuse de produits culturels et ludiques
D1225;Responsable d'institut de beauté
D1227;Acheteur vendeur / Acheteuse vendeuse d'or, de métaux précieux
D1229;Responsable de pressing
D1233;Galeriste
D1243;Acheteur vendeur / Acheteuse vendeuse en dépôt-vente
D1301;Gérant / Gérante de magasin d'alimentation générale
D1302;Responsable de boutique
D1303;Responsable de station-service
D1305;Responsable de magasin cycles
D1401;Assistant commercial / Assistante commerciale
D1403;Conseiller commercial / Conseillère commerciale auprès des particuliers
D1407;Technico-commercial / Technico-commerciale
D1411;Responsable Efficacité Commerciale (SFE) en industrie pharmaceutique
D1415;Chargé / Chargée de relation client
D1416;Commercial / Commerciale auprès d'une clientèle d'entreprises
D1417;Chef / Cheffe des ventes
D1418;Négociant / Négociante en bois
D1419;Courtier / Courtière en vins
D1420;Cadre Technico-commercial / Technico-commerciale
D1424;Conseiller vendeur / Conseillère vendeuse à domicile
D1425;Conseiller vendeur / Conseillère vendeuse de véhicules poids lourds
D1433;Commercial / Commerciale export
D1501;Animateur / Animatrice des ventes
D1503;Chef / Cheffe de rayon de produits non alimentaires
D1504;Directeur / Directrice de magasin de grande distribution
D1505;Hôte / Hôtesse de caisse
D1506;Merchandiser
D1507;Employé / Employée de rayon libre-service
D1508;Responsable de caisses
D1510;Chef / Cheffe de secteur magasin
D1511;Opérateur / Opératrice de station service
E1113;Responsable e-commerce
G1608;Ecailler / Ecaillère
G1804;Sommelier / Sommelière
G1806;Chef sommelier / Cheffe sommelière
G1807;Gérant / Gérante de bar-tabac
I1307;Antenniste
I1402;Technicien / Technicienne de maintenance en appareils électroménagers
I1410;Responsable Service Après-Vente -SAV- en électroménager
I1607;Mécanicien / Mécanicienne motocycles
J1202;Pharmacien / Pharmacienne
K1907;Commissaire-priseur / Commissaire-priseure
M1102;Responsable des achats
M1704;Responsable relation client (CRM)
M1705;Responsable marketing
M1709;Chef / Cheffe de gamme en industrie pharmaceutique
M1711;Directeur / Directrice du marketing
M1715;Directeur commercial / Directrice commerciale
M1823;Consultant / Consultante avant-vente
N1110;Magasinier / Magasinière
N1113;Préparateur / Préparatrice au drive
N1203;Technicien / Technicienne gestion douanière
49;Transports terrestres et transport par conduites
;
D1425;Conseiller vendeur / Conseillère vendeuse de véhicules poids lourds
F1301;Grutier / Grutière
F1629;Electricien / Electricienne ferroviaire
G1302;Yield manager
G1611;Steward / Hôtesse de train
H1405;Responsable supply chain en industrie
I1108;Chef / Cheffe d'atelier engins de chantier
I1111;Responsable technique après-vente des véhicules
I1116;Responsable d'exploitation de stationnement
I1323;Technicien / Technicienne de maintenance ferroviaire
I1611;Préparateur / Préparatrice de véhicules automobiles
I1613;Mécanicien / Mécanicienne des véhicules des transports routiers
I1622;Technicien expert / Technicienne experte après-vente de véhicules de transport routier
J1305;Ambulancier / Ambulancière
J1311;Transporteur / Transporteuse de produits de santé
K1722;Conducteur / Conductrice d'autorité de l'armée
K1723;Conducteur / Conductrice Véhicule Léger de l'armée
K2506;Convoyeur / Convoyeuse de fonds
M1616;Auxiliaire de gestion des écoles de conduite
N1102;Déménageur / Déménageuse
N1104;Pontier / Pontière
N1106;Agent / Agente de quai manutentionnaire
N1107;Chef / Cheffe d'équipe en déménagement
N1108;Conducteur / Conductrice de grue mobile
N1111;Conducteur / Conductrice de pont roulant
N1114;Conducteur / Conductrice d'engins lourds de manutention
N1201;Affréteur / Affréteuse
N1207;Chef / Cheffe de groupe affrètement
N1301;Responsable logistique
N1303;Approvisionneur / Approvisionneuse logistique
N2207;Agent / Agente d'accompagnement du transport
N4101;Conducteur / Conductrice de poids lourd
N4102;Conducteur / Conductrice de transport de particuliers
N4103;Conducteur / Conductrice de bus
N4104;Coursier / Coursière
N4105;Conducteur-livreur / Conductrice-livreuse
N4106;Commis coursier / Commise coursière en douane
N4107;Conducteur livreur / Conductrice livreuse de béton prêt à l'emploi
N4108;Conducteur accompagnateur / Conductrice accompagnatrice de personnes à mobilité réduite
N4109;Conducteur / Conductrice d'autocar ligne régulière
N4111;Conducteur / Conductrice super poids lourd de l'armée
N4112;Chauffeur / Chauffeuse VTC
N4113;Conducteur routier international / Conductrice routière internationale
N4114;Conducteur livreur avitailleur / Conductrice livreuse avitailleuse en carburant
N4115;Conducteur / Conductrice de véhicules Super Lourds
N4116;Conducteur / Conductrice de transport routier de marchandises dangereuses
N4117;Conducteur / Conductrice d'attelage
N4118;Conducteur / Conductrice enlèvement de déchets
N4119;Conducteur / Conductrice de tramway
N4120;Chauffeur-livreur préparateur / Chauffeuse-livreuse préparatrice de commandes
N4121;Aide-livreur / Aide-livreuse
N4122;Convoyeur / Convoyeuse de véhicules ou matériels lourds
N4123;Conducteur livreur installateur / Conductrice livreuse installatrice
N4124;Conducteur / Conductrice de taxi moto
N4125;Conducteur / Conductrice de transport routier d'animaux vivants
N4126;Conducteur / Conductrice de transport routier en convoi exceptionnel
N4127;Conducteur / Conductrice de car tourisme
N4128;Conducteur / Conductrice de navette de moins de 9 personnes
N4130;Conducteur / Conductrice de voiture radar à conduite externalisée
N4131;Chauffeur / Chauffeuse de direction
N4132;Contrôleur / Contrôleuse de bus
N4201;Responsable d'agence transport routier de marchandises
N4202;Responsable d'exploitation transport routier de personnes
N4203;Agent / Agente d'exploitation en transport routier de marchandises
N4204;Agent / Agente d'exploitation transport routier de personnes
N4301;Conducteur / Conductrice de train
N4302;Contrôleur / Contrôleuse des transports en commun
N4303;Conducteur / Conductrice d'engins de manœuvre du réseau ferré
N4304;Responsable d'équipe d'agents de conduite du réseau ferré
N4305;Conducteur / Conductrice de métro
N4401;Aiguilleur / Aiguilleure du rail
N4403;Opérateur / Opératrice ferroviaire
5;Extraction de houille et de lignite
;
50;Transports par eau
;
G1107;Hôte / Hôtesse d'accueil et d'animation de croisière
N1109;Eclusier-barragiste / Eclusière-barragiste
N1202;Agent / Agente de transit
N1205;Responsable de service transit
N1206;Courtier / Courtière affrètement maritime
N1207;Chef / Cheffe de groupe affrètement
N3101;Officier / Officière de port
N3102;Marin
N3103;Matelot de la navigation fluviale
